hostname;mainIp;cpu;ram;hd
BV2154485;BV2154485;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;929.67 GB
BV2154488;BV2154488;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;476.82 GB
BV2154490;BV2154490;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.35 GB
BV2154491;BV2154491;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.96 GB
BV2154494;BV2154494;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.45 GB
BV2154496;BV2154496;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.34 GB
BV2154497;BV2154497;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.34 GB
BV2154498;BV2154498;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.34 GB
bv2154499;bv2154499;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;447.01 GB
bv2154502;bv2154502;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;707.70 GB
bv2154505;bv2154505;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;223.43 GB
bv2154506;bv2154506;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.96 GB
BV2154508;BV2154508;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.34 GB
bv2154510;bv2154510;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.34 GB
BV2154515;BV2154515;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;476.81 GB
bv2154515-1;bv2154515-1;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;237.70 GB
bv2154518;bv2154518;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;707.25 GB
BV2154519;BV2154519;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;447.00 GB
BV2154525;BV2154525;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.34 GB
BV2154526;BV2154526;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.63 GB
BV2154527;BV2154527;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;476.81 GB
BV2154528;BV2154528;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.96 GB
BV2154529;BV2154529;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV2154530;BV2154530;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;223.44 GB
BV2154532;BV2154532;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;223.44 GB
BV2154533;BV2154533;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;912.63 GB
BV2154534;BV2154534;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.81 GB
bv2154535;bv2154535;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV2154536;BV2154536;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;223.44 GB
BV2154537;BV2154537;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;447.00 GB
bv2154538;bv2154538;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.34 GB
BV2154539;BV2154539;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;447.00 GB
BV2154540;BV2154540;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;447.00 GB
BV2154541;BV2154541;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;296.79 GB
